link,type
https://www.google.com/imghp?hl=en&tab=wi,external
https://www.google.com/setprefdomain?prefdom=IE&prev=https://www.google.ie/&sig=K__vB5Rp-MLKD1MklD2dU2Bjnt5bw%3D,external
https://google.com/intl/en/about.html,external
http://www.google.ie/intl/en/services/,external
https://google.com/intl/en/ads/,external
https://www.google.com/setprefs?sig=0_FSFV4sZWj4u4MpHlC0jAidtCqyQ%3D&hl=ga&source=homepage&sa=X&ved=0ahUKEwix99XS5vaEAxXFZEEAHTgRD78Q2ZgBCAU,external
https://google.com/advanced_search?hl=en-IE&authuser=0,external
https://accounts.google.com/ServiceLogin?hl=en&passive=true&continue=https://www.google.com/&ec=GAZAAQ,external
https://google.com/intl/en/policies/privacy/,external
https://google.com/preferences?hl=en,external
https://www.google.ie/intl/en/about/products?tab=wh,external
https://drive.google.com/?tab=wo,external
https://mail.google.com/mail/?tab=wm,external
https://news.google.com/?tab=wn,external
https://www.youtube.com/?tab=w1,external
https://play.google.com/?hl=en&tab=w8,external
https://maps.google.ie/maps?hl=en&tab=wl,external
http://www.google.ie/history/optout?hl=en,external
https://google.com/intl/en/policies/terms/,external
